#        2-point extrapolation        3-point extrapolation 
# R   PT2             exFCI(2)       PT2            exFCI(3)
0.90 -0.0014       -198.55254623   -0.0020       -198.55247432
0.95 -0.0014       -198.72928231   -0.0019       -198.72922878
1.00 -0.0016       -198.85760512   -0.0022       -198.85759117
1.05 -0.0017       -198.95046851   -0.0023       -198.95041878
1.10 -0.0015       -199.01718047   -0.0021       -199.01714648
1.15 -0.0019       -199.06462329   -0.0026       -199.06459174
1.20 -0.0017       -199.09787332   -0.0022       -199.09781679
1.25 -0.0018       -199.12045887   -0.0025       -199.12042566
1.30 -0.0020       -199.13517913   -0.0028       -199.13517609
1.35 -0.0020       -199.14407897   -0.0027       -199.14405195
1.40 -0.0018       -199.14868149   -0.0025       -199.14866735
1.45 -0.0021       -199.15019187   -0.0029       -199.15012696
1.50 -0.0021       -199.14940996   -0.0028       -199.14937622
1.55 -0.0023       -199.14714275   -0.0031       -199.14710934
1.60 -0.0023       -199.14393419   -0.0031       -199.14386214
1.65 -0.0024       -199.14018092   -0.0032       -199.14011563
1.70 -0.0024       -199.13611115   -0.0032       -199.13607368
1.75 -0.0024       -199.13210335   -0.0033       -199.13203818
1.80 -0.0022       -199.12815221   -0.0030       -199.12812384
1.85 -0.0023       -199.12455396   -0.0032       -199.12448827
1.90 -0.0023       -199.12109820   -0.0032       -199.12109170
1.95 -0.0032       -199.11805036   -0.0046       -199.11803237
2.00 -0.0023       -199.11542241   -0.0032       -199.11539134
2.05 -0.0033       -199.11302712   -0.0047       -199.11299467
2.10 -0.0034       -199.11093766   -0.0048       -199.11095515
2.15 -0.0030       -199.10922099   -0.0043       -199.10919290
2.20 -0.0031       -199.10769227   -0.0045       -199.10769413
2.25 -0.0022       -199.10652777   -0.0031       -199.10649739
2.30 -0.0027       -199.10540167   -0.0039       -199.10538374
2.35 -0.0029       -199.10451177   -0.0042       -199.10455534
2.40 -0.0029       -199.10380474   -0.0042       -199.10378630
2.45 -0.0026       -199.10323984   -0.0038       -199.10319282
2.50 -0.0024       -199.10276400   -0.0035       -199.10274189
2.55 -0.0023       -199.10238377   -0.0032       -199.10234107
2.60 -0.0025       -199.10205395   -0.0036       -199.10200834
2.65 -0.0026       -199.10179902   -0.0037       -199.10175603
2.70 -0.0028       -199.10156636   -0.0041       -199.10152178
2.75 -0.0026       -199.10141914   -0.0037       -199.10137065
2.80 -0.0026       -199.10127742   -0.0037       -199.10123705
2.85 -0.0026       -199.10113632   -0.0037       -199.10108981
2.90 -0.0023       -199.10106869   -0.0032       -199.10102873
2.95 -0.0023       -199.10099791   -0.0034       -199.10094048
3.00 -0.0025       -199.10093814   -0.0036       -199.10090253
3.20 -0.0021       -199.10076532   -0.0030       -199.10072216
3.40 -0.0051       -199.10100548   -0.0067       -199.10088657
3.60 -0.0057       -199.10081104   -0.0076       -199.10088209
3.80 -0.0058       -199.10092322   -0.0078       -199.10085103
4.00 -0.0021       -199.10090905   -0.0027       -199.10086522
4.50 -0.0039       -199.10072671   -0.0052       -199.10075819
5.00 -0.0052       -199.10078784   -0.0070       -199.10072430

