0.90 -0.0092       -198.74077058 -0.0119       -198.74065551
0.95 -0.0092       -198.91189807 -0.0118       -198.91194956
1.00 -0.0092       -199.03675444 -0.0117       -199.03681141
1.05 -0.0095       -199.12749512 -0.0121       -199.12730523
1.10 -0.0085       -199.19251513 -0.0110       -199.19243743
1.15 -0.0100       -199.23832495 -0.0127       -199.23832920
1.20 -0.0103       -199.27024594 -0.0131       -199.27025798
1.25 -0.0107       -199.29151344 -0.0136       -199.29140458
1.30 -0.0108       -199.30459211 -0.0136       -199.30461711
1.35 -0.0115       -199.31192014 -0.0145       -199.31192053
1.40 -0.0118       -199.31490398 -0.0149       -199.31490265
1.45 -0.0119       -199.31465499 -0.0149       -199.31480239
1.50 -0.0107       -199.31257763 -0.0137       -199.31256708
1.55 -0.0120       -199.30877048 -0.0153       -199.30882405
1.60 -0.0117       -199.30448529 -0.0147       -199.30449201
1.65 -0.0115       -199.29958218 -0.0145       -199.29962936
1.70 -0.0123       -199.29471672 -0.0157       -199.29467008
1.75 -0.0106       -199.28989031 -0.0135       -199.28984931
1.80 -0.0118       -199.28529337 -0.0150       -199.28531180
1.85 -0.0115       -199.28112081 -0.0145       -199.28115283
1.90 -0.0113       -199.27733838 -0.0143       -199.27744748
1.95 -0.0120       -199.27404326 -0.0153       -199.27399573
2.00 -0.0109       -199.27114937 -0.0138       -199.27116966
2.05 -0.0112       -199.26854783 -0.0141       -199.26870010
2.10 -0.0116       -199.26645862 -0.0148       -199.26642125
2.15 -0.0122       -199.26467673 -0.0153       -199.26472890
2.20 -0.0115       -199.26320894 -0.0145       -199.26324276
2.25 -0.0115       -199.26200013 -0.0146       -199.26201242
2.30 -0.0109       -199.26105649 -0.0139       -199.26096257
2.35 -0.0104       -199.26021010 -0.0132       -199.26019664
2.40 -0.0119       -199.25929573 -0.0148       -199.25935651
2.45 -0.0104       -199.25866524 -0.0133       -199.25876952
2.50 -0.0113       -199.25818725 -0.0143       -199.25814878
2.55 -0.0110       -199.25785988 -0.0141       -199.25776311
2.60 -0.0103       -199.25764944 -0.0134       -199.25750674
2.65 -0.0114       -199.25732033 -0.0144       -199.25729257
2.70 -0.0081       -199.25712754 -0.0107       -199.25701192
2.75 -0.0074       -199.25673813 -0.0097       -199.25681481
2.80 -0.0080       -199.25667540 -0.0106       -199.25664846
2.85 -0.0066       -199.25652101 -0.0086       -199.25655571
2.90 -0.0076       -199.25649786 -0.0100       -199.25645981
2.95 -0.0070       -199.25644527 -0.0092       -199.25647691
3.00 -0.0064       -199.25647990 -0.0083       -199.25642755
3.20 -0.0092       -199.25631793 -0.0122       -199.25631950
3.40 -0.0089       -199.25619666 -0.0118       -199.25634321
3.60 -0.0093       -199.25615953 -0.0121       -199.25619809
3.80 -0.0100       -199.25605972 -0.0130       -199.25612658
4.00 -0.0131       -199.25613980 -0.0162       -199.25613844
4.50 -0.0087       -199.25603980 -0.0114       -199.25608843
5.00 -0.0090       -199.25616050 -0.0118       -199.25607930

