0.75 -0.0004       -108.33947193 -0.0007       -108.33946405
0.80 -0.0008       -108.67786272 -0.0011       -108.67785930
0.85 -0.0005       -108.91432973 -0.0008       -108.91433014
0.90 -0.0009       -109.07548053 -0.0013       -109.07546988
0.95 -0.0006       -109.18115200 -0.0010       -109.18114325
1.00 -0.0008       -109.24616688 -0.0013       -109.24615888
1.05 -0.0012       -109.28167744 -0.0018       -109.28167026
1.10 -0.0014       -109.29605250 -0.0021       -109.29603444
1.15 -0.0011       -109.29554682 -0.0016       -109.29553591
1.20 -0.0019       -109.28476473 -0.0028       -109.28476054
1.25 -0.0015       -109.26725013 -0.0022       -109.26725628
1.30 -0.0019       -109.24552137 -0.0029       -109.24552227
1.35 -0.0020       -109.22150162 -0.0031       -109.22150192
1.40 -0.0019       -109.19656185 -0.0028       -109.19655750
1.45 -0.0019       -109.17169530 -0.0029       -109.17169663
1.50 -0.0020       -109.14760963 -0.0031       -109.14761252
1.55 -0.0022       -109.12484312 -0.0032       -109.12485763
1.60 -0.0024       -109.10371524 -0.0035       -109.10370476
1.65 -0.0019       -109.08439789 -0.0029       -109.08440242
1.70 -0.0025       -109.06701989 -0.0037       -109.06704921
1.75 -0.0024       -109.05167228 -0.0035       -109.05167897
1.80 -0.0022       -109.03831449 -0.0033       -109.03832414
1.85 -0.0042       -109.02693046 -0.0060       -109.02691940
1.90 -0.0024       -109.01721362 -0.0037       -109.01722616
1.95 -0.0026       -109.00922133 -0.0042       -109.00928598
2.00 -0.0027       -109.00267675 -0.0041       -109.00270544
2.05 -0.0027       -108.99735967 -0.0040       -108.99739794
2.10 -0.0030       -108.99317112 -0.0044       -108.99317423
2.15 -0.0029       -108.98975024 -0.0043       -108.98977747
2.20 -0.0047       -108.98712514 -0.0065       -108.98718399
2.25 -0.0044       -108.98494997 -0.0062       -108.98499487
2.30 -0.0043       -108.98330878 -0.0061       -108.98327333
2.35 -0.0038       -108.98185161 -0.0056       -108.98188988
2.40 -0.0041       -108.98084925 -0.0058       -108.98082913
2.45 -0.0032       -108.97983294 -0.0049       -108.97987597
2.50 -0.0039       -108.97917604 -0.0058       -108.97919830
2.55 -0.0034       -108.97848661 -0.0052       -108.97853163
2.60 -0.0035       -108.97799140 -0.0053       -108.97802659
2.65 -0.0038       -108.97753462 -0.0053       -108.97757353
2.70 -0.0052       -108.97718804 -0.0071       -108.97732363
2.75 -0.0036       -108.97695255 -0.0053       -108.97690831
2.80 -0.0036       -108.97656228 -0.0053       -108.97659250
2.85 -0.0047       -108.97640500 -0.0067       -108.97640332
2.90 -0.0035       -108.97616737 -0.0050       -108.97618039
2.95 -0.0037       -108.97589964 -0.0052       -108.97591480
3.00 -0.0039       -108.97586909 -0.0055       -108.97581343
3.20 -0.0050       -108.97528717 -0.0072       -108.97533727
3.40 -0.0053       -108.97561047 -0.0078       -108.97537655
3.60 -0.0054       -108.97467762 -0.0083       -108.97489079
3.80 -0.0052       -108.97481495 -0.0075       -108.97479988
4.00 -0.0048       -108.97470189 -0.0071       -108.97475905

