0.75 -0.0014       -108.53459535 -0.0019       -108.53460076
0.80 -0.0016       -108.84331347 -0.0023       -108.84331774
0.85 -0.0018       -109.05628621 -0.0025       -109.05625910
0.90 -0.0019       -109.19918120 -0.0026       -109.19915137
0.95 -0.0020       -109.29095139 -0.0029       -109.29094214
1.00 -0.0021       -109.34567037 -0.0030       -109.34562779
1.05 -0.0025       -109.37357731 -0.0035       -109.37354247
1.10 -0.0071       -109.38241439 -0.0092       -109.38253277
1.15 -0.0026       -109.37777274 -0.0037       -109.37778038
1.20 -0.0027       -109.36404978 -0.0037       -109.36404495
1.25 -0.0029       -109.34438930 -0.0041       -109.34435136
1.30 -0.0029       -109.32105758 -0.0040       -109.32101825
1.35 -0.0031       -109.29578120 -0.0044       -109.29578721
1.40 -0.0036       -109.26988028 -0.0051       -109.26983824
1.45 -0.0036       -109.24422429 -0.0049       -109.24419033
1.50 -0.0042       -109.21944030 -0.0057       -109.21944737
1.55 -0.0044       -109.19598586 -0.0060       -109.19596161
1.60 -0.0048       -109.17415727 -0.0065       -109.17416731
1.65 -0.0051       -109.15424502 -0.0069       -109.15422197
1.70 -0.0054       -109.13586583 -0.0073       -109.13598682
1.75 -0.0054       -109.11979424 -0.0074       -109.11983961
1.80 -0.0057       -109.10561946 -0.0077       -109.10566657
1.85 -0.0057       -109.09344160 -0.0076       -109.09340497
1.90 -0.0081       -109.08310604 -0.0108       -109.08303822
1.95 -0.0083       -109.07427259 -0.0110       -109.07430377
2.00 -0.0085       -109.06712882 -0.0113       -109.06701825
2.05 -0.0081       -109.06106635 -0.0107       -109.06119831
2.10 -0.0089       -109.05628605 -0.0116       -109.05632740
2.15 -0.0088       -109.05225671 -0.0116       -109.05236507
2.20 -0.0084       -109.04932619 -0.0113       -109.04926165
2.25 -0.0085       -109.04682084 -0.0115       -109.04681352
2.30 -0.0078       -109.04470892 -0.0103       -109.04473382
2.35 -0.0079       -109.04299500 -0.0108       -109.04314177
2.40 -0.0070       -109.04167633 -0.0100       -109.04187480
2.45 -0.0075       -109.04081595 -0.0100       -109.04067372
2.50 -0.0070       -109.03976479 -0.0094       -109.03975396
2.55 -0.0074       -109.03890959 -0.0099       -109.03905998
2.60 -0.0103       -109.03834319 -0.0135       -109.03839627
2.65 -0.0102       -109.03810252 -0.0133       -109.03796075
2.70 -0.0097       -109.03737461 -0.0126       -109.03748304
2.75 -0.0095       -109.03704306 -0.0124       -109.03719247
2.80 -0.0087       -109.03701992 -0.0114       -109.03696038
2.85 -0.0092       -109.03669821 -0.0120       -109.03668933
2.90 -0.0091       -109.03639470 -0.0120       -109.03640351
2.95 -0.0089       -109.03633361 -0.0117       -109.03631287
3.00 -0.0085       -109.03597319 -0.0112       -109.03604843
3.20 -0.0111       -109.03548140 -0.0146       -109.03552307
3.40 -0.0079       -109.03521609 -0.0105       -109.03519667
3.60 -0.0066       -109.03495810 -0.0089       -109.03494743
3.80 -0.0067       -109.03484775 -0.0090       -109.03476633
4.00 -0.0067       -109.03471243 -0.0089       -109.03466495


